nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.11914,3.08789,3.11914,3.08984,3.11328,3.13672,3.10547,3.11914,3.13086,3.13672,3.13867,3.13477,3.12891,3.13672,3.0625,3.00195,2.90625,2.74609,2.73438,2.72461,2.71484,2.70508,2.69531,2.68555,2.67578
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.10938,3.08008,3.10938,3.08203,3.10547,3.12891,3.09766,3.11328,3.125,3.13281,3.13477,3.13281,3.12695,3.13477,3.09766,3.03906,2.96289,2.86523,2.74219,2.73047,2.7207,2.71094,2.69922,2.68945,2.68164,2.67188,2.66211,2.65234
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.13672,3.09961,3.13672,3.10156,3.13086,3.09961,3.12109,3.14062,3.10742,3.11914,3.12891,3.13086,3.13086,3.12695,3.13477,3.11719,3.06055,3,2.92383,2.78711,2.73828,2.72656,2.7168,2.70703,2.69531,2.68555,2.67578,2.66797,2.6582,2.64844,2.64062,2.63086
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.12305,3.08984,3.12695,3.09375,3.12305,3.0918,3.11328,3.13477,3.10156,3.11523,3.12305,3.12891,3.12891,3.125,3.13672,3.13672,3.08008,3.02344,2.96289,2.88477,2.74609,2.73438,2.72266,2.71289,2.70117,2.69141,2.68164,2.67188,2.66211,2.65234,2.64453,2.63477,2.62695,2.61719,2.60938
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.11328,3.08203,3.11523,3.08594,3.11328,3.08398,3.10742,3.12695,3.0957,3.10938,3.11914,3.125,3.12695,3.12305,3.13672,3.13672,3.10156,3.05664,3,2.94141,2.8457,2.74219,2.73047,2.71875,2.70898,2.69727,2.6875,2.67773,2.66797,2.6582,2.64844,2.63867,2.63086,2.62109,2.61328,2.60547,2.5957,2.58789
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.10156,3.07422,3.10742,3.07812,3.10547,3.13281,3.09961,3.12109,3.13672,3.10547,3.11523,3.12109,3.12305,3.12109,3.13867,3.13867,3.11914,3.07617,3.02148,2.96484,2.9043,2.76758,2.73828,2.72656,2.71484,2.70312,2.69336,2.68359,2.67383,2.66211,2.6543,2.64453,2.63477,2.625,2.61719,2.60742,2.59961,2.5918,2.58398,2.57617,2.56836
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.12891,3.0918,3.13477,3.09766,3.13281,3.09766,3.125,3.09375,3.11328,3.13086,3.09961,3.11133,3.11719,3.12109,3.12109,3.13867,3.12695,3.13672,3.0957,3.04297,3,2.94141,2.86523,2.74414,2.73242,2.7207,2.71094,2.69922,2.68945,2.67773,2.66797,2.6582,2.64844,2.63867,2.62891,2.62109,2.61133,2.60352,2.59375,2.58594,2.57812,2.57031,2.5625,2.55469,2.54688
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.11719,3.08398,3.12305,3.08984,3.12305,3.08984,3.11719,3.08594,3.10742,3.125,3.14062,3.10547,3.11523,3.11914,3.11914,3.13867,3.12891,3.13672,3.11133,3.0625,3.02148,2.96484,2.90625,2.82617,2.74023,2.72852,2.7168,2.70508,2.69531,2.68359,2.67383,2.66406,2.6543,2.64453,2.63477,2.625,2.61523,2.60742,2.59766,2.58984,2.58008,2.57227,2.56445,2.55664,2.54883,2.54102,2.5332,2.52539
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.10547,3.07422,3.11328,3.08008,3.11328,3.08203,3.10938,3.13672,3.10156,3.11914,3.13477,3.10156,3.11133,3.11523,3.11719,3.14062,3.12891,3.13086,3.12109,3.08203,3.04102,2.99805,2.94336,2.88281,2.76758,2.73633,2.72461,2.71289,2.70117,2.68945,2.67969,2.66797,2.6582,2.64844,2.63867,2.62891,2.61914,2.61133,2.60156,2.5918,2.58398,2.57617,2.56641,2.55859,2.55078,2.54297,2.53516,2.52734,2.52148,2.51367,2.50586
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.13477,3.09375,3.06641,3.10352,3.07227,3.10547,3.14062,3.10156,3.12891,3.0957,3.11328,3.13086,3.09766,3.10742,3.11328,3.11523,3.14062,3.13086,3.13477,3.13672,3.09766,3.05859,3.01953,2.97852,2.92188,2.8457,2.74414,2.73242,2.7207,2.70898,2.69727,2.68555,2.67383,2.66406,2.6543,2.64258,2.63281,2.62305,2.61328,2.60547,2.5957,2.58789,2.57812,2.57031,2.56055,2.55273,2.54492,2.53711,2.5293,2.52148,2.51367,2.50781,2.5,2.49219,2.48633
